;base_value;screen_on;usage;voltage;network_status_disconnected;screen_brightness;up_time;system_size_partition_busy;temperature;whatsapp_0;network_status_hspap;network_status_WIFI;battery_level;network_status_lte;google play store_1;ram_busy_percent;samsung push service_1;com.google.android.googlequicksearchbox:interactor_0;network_status_0;com.facebook.lite:fbns_0;com.google.android.googlequicksearchbox:search_0;shareit_0;com.instagram.android:mqtt_0;lite_0;user_storage_busy_percent;bluetooth share_1;messenger_0;google backup transport_1;google play música_1;system ui_1;google play services_1;com.lenovo.anyshare.gps:transfer_0;com.facebook.orca:videoplayer_0;com.sec.spp.push:remotedlcprocess_0;youtube_1;google play music_1;network_status_disconnecting;beaconmanager_1;com.samsung.android.email.provider:service_0;location_enabled;power_saver_enabled;com.facebook.katana:videoplayer_0;fused location_1;roaming_enabled;ims service_1;com.instagram.android:videoplayer_0;battery double_0;org.simalliance.openmobileapi.service:remote_0;com.sec.phone_1;com.android.chrome:privileged_process0_0;com.android.systemui.recents_0;bluetooth_enabled;layanan google play_1;network_status_edge;developer_mode;network_status_hsupa;network_status_utms;secvideoengineservice_1;health_Good;bootagent_1;health_Unknown;csc_1;nfc_enabled;health_Unspecifiedfailure;os_version_6.0.1;network_status_gprs;network_status_hsdpa;battery analytics_0;facebook_0;com.facebook.katana:notification_0;android services library_1;batteryhub_0;os_version_7.1.2;com.qualcomm.qti.tetherservice_1;os_version_5.1.1;com.google.android.gms.persistent_0;network_status_hspa;com.android.smspush_1;com.qualcomm.qcrilmsgtunnel_1;network_status_19;os_version_5.1;os_version_6.0;context service_1;bluetooth_1;com.android.systemui.imagewallpaper_0;os_version_5.0.1;os_version_4.4.2;os_version_5.0.2;os_version_4.3;os_version_4.2.2;os_version_7;com.qualcomm.atfwd_1;network_status_ehrpd;network_status_connecting;network_status_1xrtt;health_Overheat;network_status_evdo_a;os_version_4.4.4;network_status_30;os_version_10.1.2;os_version_5;network_status_16;os_version_6;os_version_4.1.2;os_version_7.1.1;health_Overvoltage;os_version_4.1.1;os_version_9.0.1;network_status_17;os_version_7.1;os_version_5.0
XT1254;601.618136;162.60719683183072;28.695259476708095;60.00570782953788;29.25879822077614;31.91409590393956;30.61283288421816;3.182148130488284;77.20499144068432;2.516099672717889;0.27437729253750615;6.837142656224403;4.68918377546405;5.776366652640716;38.343242988986205;9.282683253579942;;0.020331527681598464;0.0;3.698999774267863;3.682029213300317;0.0612891308486815;1.0323596067381688;3.0879159827768614;51.27281488196905;0.014896679479415224;26.721219782229962;0.023720695862710528;0.0;0.04456311316484305;0.49110462204725425;0.06179826791570066;10.699717387620243;;5.380597249263501;0.3276273800679173;0.0;;;18.198615067182192;1.348582709366991;0.25718944066599936;0.033600262502062044;0.2442730693080811;;0.8644659217074196;15.108142869298858;;;0.4347064763599823;;0.867662198194944;;0.02537687177263622;0.03490057141175889;0.0;0.0;;0.12679382052372729;;;;1.8770688861489448;;0.0;0.0;;0.0;7.6957084949433625;14.378661700051207;;;;;;;0.031103265234913885;;0.9316498427393622;;;;;0.0;;;;;;;;0.17510872234448926;;;0.0;0.07385607687206992;0.03792604486489238;;;;;;;;;;;;;;
POLYTRON R2407;34.63828800000001;0.705709947259913;0.24730848011913473;0.2274267837377107;0.37412487164695674;0.5766524080657729;0.10090823649382819;0.9192057215491277;0.10044871276880328;0.04048500055132108;0.020753732169331775;0.027778862905005745;0.25840058974041413;;0.0054488803359506776;0.04351771857974827;;0.0006087910269459047;0.0;0.14221779976585788;0.012463889662700173;0.006358903228302228;0.008200786666608303;0.17612463810046733;0.14307956198171895;;0.0;;;;;0.0016166373723570952;0.0;;;;;;;0.004665812908128138;0.0;0.0005091274638764464;0.00113020362076801;0.0;;0.0;0.11696103229477126;;;0.0;;0.02165355024710422;0.0;0.0;1.6820854390729423;;0.0;;0.0;;;;0.0;;;0.0;;0.0;0.0007498151612509381;;;;;;;0.0;0.0;0.0;;;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LG-M150;189.83736;25.09405243120309;7.140704827607097;21.586278848934644;26.683690308370686;5.580392463205998;3.0312120945418233;1.7503999998282813;23.35620788965205;3.825902808024241;2.6860839289642477;2.0181365112209;11.03457371739034;0.1994252680907034;0.20721837696497342;1.2008042191953519;;6.103593098866096e-05;;0.4089493826382546;0.2139913624261204;0.14282865536577216;0.2813285416666223;0.11776370303831188;2.5026444652740447;;0.27330786113260935;0.05790643997685557;0.9270993955561933;0.5599690050709331;0.43130624338898005;0.13937375872962987;0.2952000542874477;;0.3577535845453292;0.28921205436892516;0.0008620870832538307;;;1.215951541890035;1.0657576618720768;0.4948303568943144;;0.0;;0.11222470072633799;0.0;;;0.11768400920917965;;0.6866432860779398;;0.0;1.215287933613861;;0.0;;0.0;;;;0.0;;;0.0;0.001397956709145486;0.0;;;0.0;;;0.011890793803741678;;;0.1640760810931024;;0.0;;;;;0.5232601782287462;;;;;;;0.0;0.0;;;;0.0016677247142272446;;;;;;;;;;;;;;;
XT1080;202.72554233333335;25.386551144496664;4.181123979283994;3.2320177969397474;15.973104160981741;1.7040550046450844;10.820575955026973;0.007862525242459678;16.01873840827687;1.077019282415938;2.8677892716991535;0.9578082096582426;0.8051821585579517;0.9774194823109529;2.024894574724125;0.6098742814358686;;;;3.3759151845735427;0.20914077561309738;0.24917599464258497;1.5697075858322;4.69798397354871;6.1713729112829165;;0.7020374494930987;6.221503491544499;;4.427494741431695;3.2677320964212235;0.2932304966240759;0.3083525185268458;;0.1365608408244019;0.511689023132209;;;;1.3311163509677704;0.0;0.5975669144306457;;0.19698743110515887;;0.5575548002525152;0.007630368194992242;;;0.3829340810205154;;0.4503824579877992;;0.023132825615881536;0.0;;0.0;;0.0;;;;4.690504412855805;;;1.9724781239393133e-05;0.0005144206187004769;;0.7432805501445839;0.000929541890447379;;;;;;0.042191786756057066;0.05334819398755379;;;;;;;;;;;;;;;0.014082884354183403;;;;;;0.0;;;;;;;;;;;;;
SM-G925I;121.76830000000001;26.031420989805753;20.56262446623579;11.771208435730792;0.0;4.443059572368698;0.14645534115060146;0.5544199895945044;1.5786372683222072;4.417494032129706;0.0;0.0;0.6986446107511709;0.0;0.0;0.012752254926868857;0.0;0.0;;0.0;0.0;0.0;0.0;0.0;5.22638641405856;;3.04763686560704;0.0;0.0;0.0;0.0;0.0;0.0;0.14570288437616202;0.00511805082848253;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0038268225302584597;0.0;0.0;0.0034217943513098533;0.0;0.0;1.0077082709555711;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;;0.0;0.0;0.0;0.007513618388267024;0.0;0.0;0.0;0.08356996147123592;;;;;;;;;;;0.0;0.0;;;;;;;0.0;;;;;;;;;;;;;;;;;;;;
SM-N910F;280.8028243333333;84.00283882143331;15.144633417673022;18.09608630037071;22.73504864169091;4.207280662318545;8.755696477516924;6.964835456355393;31.2880304826689;0.06301836428488294;0.28803977069170467;10.111106595991181;2.5046882959539527;1.2059789282459277;1.035883833638608;2.843946393568379;0.48078072039813186;2.110427900076058;;0.9959289670641419;0.634840175408842;1.1472262299585945;5.811255623499899;1.938017609698878;12.958671982427658;3.128019878185962;2.0637320641000394;1.4153066133371304;0.7743773892963556;2.1985650647564507;1.9269282286294906;0.9901367806466693;7.174493628157392;0.08671832809538531;0.34215413546717593;0.3967575342440145;0.0030094754732028386;0.35862579399652333;;4.840463426658089;0.4672684351161173;2.038304651492474;1.2748617943899867;0.1443256230773581;0.7644877761224834;0.4972150980389017;8.582284776374832;0.800086157149213;1.6400606980051613;0.33381797700635696;0.24895374593679107;1.6250462170405429;;0.05166391875105402;2.2030983799644406;0.0;0.017750387193019284;;0.07841292593862575;0.04067969084558951;0.03210263765752929;0.15028643960713578;0.8986490225564269;;0.1700913561948079;0.07087466661008035;0.013687529086284303;;0.08488378730261396;2.215665364257517;;15.495078915896299;;;0.0;0.08946826694185062;0.023895895353920376;;;;;;0.004080862444434711;0.06407319988125287;0.2935739206301625;0.010938569850289325;;;;;;0.8285657119886853;;;;;;0.0;0.00024133941024585156;;;;;;;;;;;;
SM-G7102;419.6967;231.72097004652903;0.0;73.57908929558995;0.0;15.292603437690195;11.544102441354779;10.555343271543297;130.27854584318754;0.09947719276080119;0.0;0.0;5.018258711958666;;4.662528600169089;0.4203580738851441;0.0;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.24053930723778053;0.0;0.0;0.0;0.0;0.0;0.18861134142237213;0.0;0.0;0.0;;;;0.0;0.0;0.0;0.0;0.0;;0.0;2.206371133828811;0.0;0.0;0.0;;0.0;0.0;0.0;0.0;;0.0;;0.0;;0.0;0.0;0.0;0.0;;0.0;0.0;;0.19661204176331315;;;;;;;0.0;0.0;;;;;;0.0;;;;0.0;;0.0;;;0.0;;0.0;;;;;;0.0;;;;;;;;;;;
ZTE BLADE A512;958.7117;671.234222333088;0.0;8.575648312206777;86.53204912448533;42.84022437819287;23.644455042810847;0.0;63.49978969443131;0.0;0.0;0.0;75.79393528344501;0.0;41.52498580063491;5.5965165307403035;;0.0;0.0;;0.0;;40.63544994636733;;1.792455168823796;0.0;167.0345558539019;0.0;0.0;;0.0;;0.0;;0.0;;0.0;;;0.0;0.0;0.0;;0.0;;0.0;0.0;;;0.0;;0.0;;0.0;21.873937123993013;;0.0;;0.0;;0.0;;0.0;;0.0;0.0;0.0;;0.0;0.0;;0.0;;0.0;;;0.0;0.0;0.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Andromax B26D2H;147.941824;41.846865345220074;10.527494768358686;7.216925987027019;1.9494135731847622;2.745194941630669;3.188285899412717;0.07751368135089136;15.398923876518769;1.4495429733531164;;0.375237661833774;1.4481537000237614;3.1956775939581026;0.21724466791042138;0.5434523986795794;;0.18584752467697313;0.0008900922345161938;0.3358040258558808;2.257208851250116;1.7672195992954893;3.6243933617287976;0.7589910344329587;2.3568715386225376;;0.06900413198277186;0.0;;;;3.0150982291898707;0.040712246269012604;;0.1735080946414381;;0.007383079767482228;;;0.2766396503521558;0.0020382098696351465;0.011327529884021722;0.0007094306557462993;0.0;;0.21329452666641951;4.9511558572407095;;;0.05583981479744325;;0.033517467209056545;0.027343998237535454;;0.0;;;;1.0717434143561062;;0.6467634508642811;;0.0;;0.0;;;5.396317550138485;0.06602910687903812;0.017972625231655426;;;;0.012430693853999288;;;;0.013455423795020231;0.020712989404033908;;;;;;;;;;;;;;;;;0.0007991888847251226;;;;;;;;;;;;;;;
Moto G (5);402.12921;76.13759636412539;8.862415682413713;11.321609818417611;47.27954887786286;10.738966298713978;3.4312456027177003;2.1886216879568425;43.64464166003872;3.309555491208648;0.5963406762818867;25.40520425632442;6.074798943184356;0.037709367584654464;1.913203791797958;7.225403377038207;;0.0;1.163781739886052;0.0;0.018674250942836538;0.0;7.580834105970205;;3.0047552920729146;4.087242275815642;0.6617038730855809;0.0029566987956854787;7.827376398989829;0.0;3.8400474056228493;0.0;0.6805648249467681;;0.28918079418941883;0.0;0.0;;;1.4119817140239064;0.07930670149535657;1.4847349304079296;6.219242739088409;0.009403907285964404;;0.7115838235770858;0.0;;;1.6766709043210186;;0.21400507208527086;;0.0009127909251849701;7.006899116526805;0.0;0.0027852174738658263;;0.0;;;;0.0;;;0.0;;;4.23531016623288;3.3969554901242103;0.0051428545105981546;7.980545243401378;;0.007447897498310603;;;0.026632248366584486;;0.005114532396527088;;;;;0.0;;;;;;;0.0;0.002046248208709151;;0.0;;0.0;;;;;;;;;;;;;;;
