;model;lower;upper;medcouple
75;SM-T116NU.csv;80.48928940749103;1810.0907969887712;0.3527272727272727
76;LG-F200S.csv;-9.35595312845139;358.81395491947404;0.2156862745098039
77;SM-J510FQ.csv;44.23724329617559;833.1727605417301;0.21568627450980393
78;SM-N910L.csv;32.22791776468794;478.4431522908436;0.34065934065934067
79;LG-F320S.csv;22.658131731220713;762.4264308000131;0.36470588235294116
80;SM-G920R7.csv;-126.04985996714774;354.86796982877996;-0.008264462809917347
81;SM-J327T1.csv;133.10694987558617;836.3418059789333;0.3333333333333333
82;LGLS676.csv;20.275945439511126;5011.784668899255;0.6055363321799307
83;NX16A8116K.csv;52.620004359857106;10036.945383066619;0.6593406593406593
84;Lenovo YT3-X50M.csv;319.15791784018984;31264.284330367478;0.5549915397631133
